2026-08-04 00:44:14.059 | INFO     | logger:setup_logger:99 | Logger initialised — console=DEBUG, file=DEBUG
2026-08-04 00:44:14.059 | INFO     | wake_word:__init__:39 | WakeWordService created — threshold=0.35
2026-08-04 00:44:43.958 | INFO     | wake_word:_load_model_sync:80 | Wake word model loaded successfully — model=hey_jarvis
2026-08-04 00:45:29.264 | INFO     | logger:setup_logger:99 | Logger initialised — console=DEBUG, file=DEBUG
2026-08-04 00:45:29.267 | DEBUG    | event_bus:subscribe:24 | Subscribed callback to topic pattern 'wake_word.detected'
2026-08-04 00:45:29.267 | INFO     | wake_word:__init__:39 | WakeWordService created — threshold=0.35
2026-08-04 00:45:31.442 | INFO     | wake_word:_load_model_sync:80 | Wake word model loaded successfully — model=hey_jarvis
2026-08-04 00:53:28.657 | INFO     | logger:setup_logger:99 | Logger initialised — console=DEBUG, file=DEBUG
2026-08-04 00:53:28.741 | INFO     | uia_scene_graph:__init__:64 | UIASceneGraph initialized (Native Win32 UIA Parser Ready).
2026-08-04 00:53:28.741 | DEBUG    | spatial_engine:refresh_displays:85 | Discovered 1 monitor(s).
2026-08-04 00:53:28.764 | DEBUG    | spatial_engine:refresh_displays:85 | Discovered 1 monitor(s).
2026-08-04 00:53:28.765 | INFO     | uia_scene_graph:__init__:64 | UIASceneGraph initialized (Native Win32 UIA Parser Ready).
2026-08-04 00:53:28.766 | DEBUG    | uia_scene_graph:capture_scene:141 | Scene graph captured in 0.0ms (0 controls).
2026-08-04 00:53:28.947 | INFO     | world_model:__init__:61 | WorldModel initialized (Central Desktop State Aggregator Ready).
2026-08-04 00:53:28.949 | INFO     | proactive_engine:__init__:50 | ProactiveEngine initialized (Proactive 2.0 with 20-min Cooldown & Session Memory Active).
2026-08-04 00:53:28.949 | DEBUG    | spatial_engine:refresh_displays:85 | Discovered 1 monitor(s).
2026-08-04 00:53:28.949 | INFO     | spatial_ref_parser:__init__:25 | SpatialRefParser initialized (Deictic Spatial Resolver Ready).
2026-08-04 00:53:28.950 | INFO     | workspace_memory:__init__:45 | WorkspaceMemory initialized at 'workspaces.json'.
2026-08-04 00:53:28.950 | INFO     | manager:register_instance:21 | Service instance 'live_mode_engine' registered
2026-08-04 00:53:28.951 | INFO     | live_engine:start:71 | ✓ Live Mode AI Assistant started (1.0 FPS perception loop active).
2026-08-04 00:53:28.956 | DEBUG    | uia_scene_graph:capture_scene:141 | Scene graph captured in 0.0ms (0 controls).
2026-08-04 00:53:29.961 | DEBUG    | uia_scene_graph:capture_scene:141 | Scene graph captured in 0.0ms (0 controls).
2026-08-04 00:53:30.465 | INFO     | live_engine:stop:79 | Live Mode AI Assistant stopped.
2026-08-04 00:53:30.465 | INFO     | workspace_intelligence:__init__:46 | WorkspaceIntelligenceService initialized (Habit Store: user_habits.json)
2026-08-04 00:53:30.466 | INFO     | workspace_intelligence:set_goal:89 | Updated Workspace Goal: 'Building MCU JARVIS AI Desktop Assistant'
2026-08-04 00:53:30.472 | INFO     | safety:__init__:250 | SafetyService initialised — confirm_dangerous=True, allow_terminal=True
2026-08-04 00:53:30.473 | INFO     | automation:__init__:191 | AutomationService initialised
2026-08-04 00:53:56.813 | INFO     | logger:setup_logger:99 | Logger initialised — console=DEBUG, file=DEBUG
2026-08-04 00:53:56.844 | INFO     | uia_scene_graph:__init__:64 | UIASceneGraph initialized (Native Win32 UIA Parser Ready).
2026-08-04 00:53:56.844 | DEBUG    | spatial_engine:refresh_displays:85 | Discovered 1 monitor(s).
2026-08-04 00:53:56.862 | DEBUG    | spatial_engine:refresh_displays:85 | Discovered 1 monitor(s).
2026-08-04 00:53:56.862 | INFO     | uia_scene_graph:__init__:64 | UIASceneGraph initialized (Native Win32 UIA Parser Ready).
2026-08-04 00:53:56.864 | DEBUG    | uia_scene_graph:capture_scene:141 | Scene graph captured in 0.0ms (0 controls).
2026-08-04 00:53:57.035 | INFO     | world_model:__init__:61 | WorldModel initialized (Central Desktop State Aggregator Ready).
2026-08-04 00:53:57.037 | INFO     | proactive_engine:__init__:50 | ProactiveEngine initialized (Proactive 2.0 with 20-min Cooldown & Session Memory Active).
2026-08-04 00:53:57.037 | DEBUG    | spatial_engine:refresh_displays:85 | Discovered 1 monitor(s).
2026-08-04 00:53:57.038 | INFO     | spatial_ref_parser:__init__:25 | SpatialRefParser initialized (Deictic Spatial Resolver Ready).
2026-08-04 00:53:57.038 | INFO     | workspace_memory:__init__:45 | WorkspaceMemory initialized at 'workspaces.json'.
2026-08-04 00:53:57.038 | INFO     | manager:register_instance:21 | Service instance 'live_mode_engine' registered
2026-08-04 00:53:57.039 | INFO     | live_engine:start:71 | ✓ Live Mode AI Assistant started (1.0 FPS perception loop active).
2026-08-04 00:53:57.043 | DEBUG    | uia_scene_graph:capture_scene:141 | Scene graph captured in 0.0ms (0 controls).
2026-08-04 00:53:58.051 | DEBUG    | uia_scene_graph:capture_scene:141 | Scene graph captured in 0.0ms (0 controls).
2026-08-04 00:53:58.547 | INFO     | live_engine:stop:79 | Live Mode AI Assistant stopped.
2026-08-04 00:53:58.548 | INFO     | workspace_intelligence:__init__:46 | WorkspaceIntelligenceService initialized (Habit Store: user_habits.json)
2026-08-04 00:53:58.548 | INFO     | workspace_intelligence:set_goal:89 | Updated Workspace Goal: 'Building MCU JARVIS AI Desktop Assistant'
2026-08-04 00:53:58.548 | INFO     | safety:__init__:250 | SafetyService initialised — confirm_dangerous=True, allow_terminal=True
2026-08-04 00:53:58.549 | INFO     | automation:__init__:191 | AutomationService initialised
2026-08-04 00:54:24.808 | INFO     | logger:setup_logger:99 | Logger initialised — console=DEBUG, file=DEBUG
2026-08-04 00:54:24.864 | INFO     | uia_scene_graph:__init__:64 | UIASceneGraph initialized (Native Win32 UIA Parser Ready).
2026-08-04 00:54:24.865 | DEBUG    | spatial_engine:refresh_displays:85 | Discovered 1 monitor(s).
2026-08-04 00:54:24.882 | DEBUG    | spatial_engine:refresh_displays:85 | Discovered 1 monitor(s).
2026-08-04 00:54:24.883 | INFO     | uia_scene_graph:__init__:64 | UIASceneGraph initialized (Native Win32 UIA Parser Ready).
2026-08-04 00:54:24.886 | DEBUG    | uia_scene_graph:capture_scene:141 | Scene graph captured in 0.0ms (0 controls).
2026-08-04 00:54:24.979 | INFO     | world_model:__init__:61 | WorldModel initialized (Central Desktop State Aggregator Ready).
2026-08-04 00:54:24.980 | INFO     | proactive_engine:__init__:50 | ProactiveEngine initialized (Proactive 2.0 with 20-min Cooldown & Session Memory Active).
2026-08-04 00:54:24.980 | DEBUG    | spatial_engine:refresh_displays:85 | Discovered 1 monitor(s).
2026-08-04 00:54:24.980 | INFO     | spatial_ref_parser:__init__:25 | SpatialRefParser initialized (Deictic Spatial Resolver Ready).
2026-08-04 00:54:24.981 | INFO     | workspace_memory:__init__:45 | WorkspaceMemory initialized at 'workspaces.json'.
2026-08-04 00:54:24.982 | INFO     | manager:register_instance:21 | Service instance 'live_mode_engine' registered
2026-08-04 00:54:24.982 | INFO     | live_engine:start:71 | ✓ Live Mode AI Assistant started (1.0 FPS perception loop active).
2026-08-04 00:54:24.988 | DEBUG    | uia_scene_graph:capture_scene:141 | Scene graph captured in 0.0ms (0 controls).
2026-08-04 00:54:26.003 | DEBUG    | uia_scene_graph:capture_scene:141 | Scene graph captured in 25.0ms (0 controls).
2026-08-04 00:54:26.497 | INFO     | live_engine:stop:79 | Live Mode AI Assistant stopped.
2026-08-04 00:54:26.498 | INFO     | workspace_intelligence:__init__:46 | WorkspaceIntelligenceService initialized (Habit Store: user_habits.json)
2026-08-04 00:54:26.500 | INFO     | workspace_intelligence:set_goal:89 | Updated Workspace Goal: 'Building MCU JARVIS AI Desktop Assistant'
2026-08-04 00:54:26.500 | INFO     | safety:__init__:250 | SafetyService initialised — confirm_dangerous=True, allow_terminal=True
2026-08-04 00:54:26.502 | INFO     | automation:__init__:191 | AutomationService initialised
2026-08-04 00:54:26.504 | INFO     | automation:open_application:209 | Opening application: notepad
2026-08-04 00:54:28.803 | INFO     | automation:resize_window:978 | Resizing window matching title: 'notepad' to position='left'
2026-08-04 00:54:28.805 | DEBUG    | spatial_engine:refresh_displays:85 | Discovered 1 monitor(s).
2026-08-04 00:54:28.807 | ERROR    | automation:resize_window:1052 | Error resizing window: 'MonitorInfo' object is not subscriptable
2026-08-04 00:54:51.924 | INFO     | logger:setup_logger:99 | Logger initialised — console=DEBUG, file=DEBUG
2026-08-04 00:54:51.962 | INFO     | uia_scene_graph:__init__:64 | UIASceneGraph initialized (Native Win32 UIA Parser Ready).
2026-08-04 00:54:51.962 | DEBUG    | spatial_engine:refresh_displays:85 | Discovered 1 monitor(s).
2026-08-04 00:54:51.976 | DEBUG    | spatial_engine:refresh_displays:85 | Discovered 1 monitor(s).
2026-08-04 00:54:51.976 | INFO     | uia_scene_graph:__init__:64 | UIASceneGraph initialized (Native Win32 UIA Parser Ready).
2026-08-04 00:54:51.977 | DEBUG    | uia_scene_graph:capture_scene:141 | Scene graph captured in 0.0ms (0 controls).
2026-08-04 00:54:52.113 | INFO     | world_model:__init__:61 | WorldModel initialized (Central Desktop State Aggregator Ready).
2026-08-04 00:54:52.116 | INFO     | proactive_engine:__init__:50 | ProactiveEngine initialized (Proactive 2.0 with 20-min Cooldown & Session Memory Active).
2026-08-04 00:54:52.116 | DEBUG    | spatial_engine:refresh_displays:85 | Discovered 1 monitor(s).
2026-08-04 00:54:52.116 | INFO     | spatial_ref_parser:__init__:25 | SpatialRefParser initialized (Deictic Spatial Resolver Ready).
2026-08-04 00:54:52.116 | INFO     | workspace_memory:__init__:45 | WorkspaceMemory initialized at 'workspaces.json'.
2026-08-04 00:54:52.117 | INFO     | manager:register_instance:21 | Service instance 'live_mode_engine' registered
2026-08-04 00:54:52.117 | INFO     | live_engine:start:71 | ✓ Live Mode AI Assistant started (1.0 FPS perception loop active).
2026-08-04 00:54:52.121 | DEBUG    | uia_scene_graph:capture_scene:141 | Scene graph captured in 0.0ms (0 controls).
2026-08-04 00:54:53.120 | DEBUG    | uia_scene_graph:capture_scene:141 | Scene graph captured in 0.0ms (0 controls).
2026-08-04 00:54:53.616 | INFO     | live_engine:stop:79 | Live Mode AI Assistant stopped.
2026-08-04 00:54:53.618 | INFO     | workspace_intelligence:__init__:46 | WorkspaceIntelligenceService initialized (Habit Store: user_habits.json)
2026-08-04 00:54:53.618 | INFO     | workspace_intelligence:set_goal:89 | Updated Workspace Goal: 'Building MCU JARVIS AI Desktop Assistant'
2026-08-04 00:54:53.619 | INFO     | safety:__init__:250 | SafetyService initialised — confirm_dangerous=True, allow_terminal=True
2026-08-04 00:54:53.620 | INFO     | automation:__init__:191 | AutomationService initialised
2026-08-04 00:54:53.620 | INFO     | automation:open_application:209 | Opening application: notepad
2026-08-04 00:54:55.458 | INFO     | automation:resize_window:978 | Resizing window matching title: 'notepad' to position='left'
2026-08-04 00:54:55.459 | DEBUG    | spatial_engine:refresh_displays:85 | Discovered 1 monitor(s).
2026-08-04 00:54:55.460 | ERROR    | automation:resize_window:1056 | Error resizing window: 'MonitorInfo' object has no attribute 'get'
2026-08-04 00:55:16.079 | INFO     | logger:setup_logger:99 | Logger initialised — console=DEBUG, file=DEBUG
2026-08-04 00:55:16.106 | INFO     | uia_scene_graph:__init__:64 | UIASceneGraph initialized (Native Win32 UIA Parser Ready).
2026-08-04 00:55:16.106 | DEBUG    | spatial_engine:refresh_displays:85 | Discovered 1 monitor(s).
2026-08-04 00:55:16.119 | DEBUG    | spatial_engine:refresh_displays:85 | Discovered 1 monitor(s).
2026-08-04 00:55:16.120 | INFO     | uia_scene_graph:__init__:64 | UIASceneGraph initialized (Native Win32 UIA Parser Ready).
2026-08-04 00:55:16.120 | DEBUG    | uia_scene_graph:capture_scene:141 | Scene graph captured in 0.0ms (0 controls).
2026-08-04 00:55:16.177 | INFO     | world_model:__init__:61 | WorldModel initialized (Central Desktop State Aggregator Ready).
2026-08-04 00:55:16.177 | INFO     | proactive_engine:__init__:50 | ProactiveEngine initialized (Proactive 2.0 with 20-min Cooldown & Session Memory Active).
2026-08-04 00:55:16.177 | DEBUG    | spatial_engine:refresh_displays:85 | Discovered 1 monitor(s).
2026-08-04 00:55:16.178 | INFO     | spatial_ref_parser:__init__:25 | SpatialRefParser initialized (Deictic Spatial Resolver Ready).
2026-08-04 00:55:16.179 | INFO     | workspace_memory:__init__:45 | WorkspaceMemory initialized at 'workspaces.json'.
2026-08-04 00:55:16.179 | INFO     | manager:register_instance:21 | Service instance 'live_mode_engine' registered
2026-08-04 00:55:16.179 | INFO     | live_engine:start:71 | ✓ Live Mode AI Assistant started (1.0 FPS perception loop active).
2026-08-04 00:55:16.182 | DEBUG    | uia_scene_graph:capture_scene:141 | Scene graph captured in 0.0ms (0 controls).
2026-08-04 00:55:17.179 | DEBUG    | uia_scene_graph:capture_scene:141 | Scene graph captured in 0.0ms (0 controls).
2026-08-04 00:55:17.678 | INFO     | live_engine:stop:79 | Live Mode AI Assistant stopped.
